4053 4497 4869 5092 5092 4869 4497 4053
4869 5648 6532 7049 7049 6532 5648 4869
5972 7453 8147 8652 8652 8147 7453 5972
7453 8652 9902 11265 11265 9902 8652 7453
8147 9902 13007 15721 15721 13007 9902 8147
8652 11265 15721 21644 21644 15721 11265 8652
8652 11265 15721 21644 21644 15721 11265 8652
8147 9902 13007 15721 15721 13007 9902 8147
7453 8652 9902 11265 11265 9902 8652 7453
5972 7453 8147 8652 8652 8147 7453 5972
4869 5648 6532 7049 7049 6532 5648 4869
4053 4497 4869 5092 5092 4869 4497 4053
